FECHA;FUENTE;VALOR (KPCD)
6/12/2024;La Creciente;0
6/12/2024;Merecumbé;0
6/12/2024;Sinu-9;0
6/12/2024;Planta LNG;262,498
6/12/2024;TGI Promigas;0
6/12/2024;Tucurinca;193.87
6/12/2024;Total;489,198.32
7/12/2024;Tucurinca;0
7/12/2024;TGI Promigas;0
7/12/2024;Planta LNG;290,978
7/12/2024;Sinu-9;0
7/12/2024;Merecumbé;0
7/12/2024;La Creciente;0
7/12/2024;Jobo;147,387.19
7/12/2024;Hocol;34,337.84
7/12/2024;Bullerengue;18,050.55
7/12/2024;Bremen Jobo;0
7/12/2024;Ballena;45,347.52
7/12/2024;Arianna;0
7/12/2024;Total;536,101.10
8/12/2024;Arianna;0
8/12/2024;Ballena;42,937.20
8/12/2024;Bremen Jobo;0
8/12/2024;Bullerengue;17,986.62
8/12/2024;Hocol;34,440.60
8/12/2024;Jobo;147,752.28
8/12/2024;La Creciente;0
8/12/2024;Merecumbé;0
8/12/2024;Sinu-9;0
8/12/2024;Planta LNG;202,174
8/12/2024;TGI Promigas;0
8/12/2024;Tucurinca;0
8/12/2024;Total;445,290.69
9/12/2024;Tucurinca;0.07
9/12/2024;TGI Promigas;0
9/12/2024;Planta LNG;363,816
9/12/2024;Sinu-9;0
9/12/2024;Merecumbé;0
9/12/2024;La Creciente;0
9/12/2024;Jobo;141,049.25
9/12/2024;Hocol;34,524.44
9/12/2024;Bullerengue;17,792.01
9/12/2024;Bremen Jobo;0
9/12/2024;Ballena;40,557.92
9/12/2024;Arianna;0
9/12/2024;Total;597,739.70
10/12/2024;Arianna;0
10/12/2024;Ballena;37,169.25
10/12/2024;Bremen Jobo;0
10/12/2024;Bullerengue;17,920.19
10/12/2024;Hocol;34,486.96
10/12/2024;Jobo;133,435.44
10/12/2024;La Creciente;0
10/12/2024;Merecumbé;0
10/12/2024;Sinu-9;867.61
10/12/2024;Planta LNG;384,035
10/12/2024;TGI Promigas;0
10/12/2024;Tucurinca;0
10/12/2024;Total;607,914.45
11/12/2024;Tucurinca;0
11/12/2024;TGI Promigas;0
11/12/2024;Planta LNG;389,419
11/12/2024;Sinu-9;7,770.55
11/12/2024;Merecumbé;0
11/12/2024;La Creciente;0
11/12/2024;Jobo;137,946.28
11/12/2024;Hocol;33,071.11
11/12/2024;Bullerengue;17,489.58
11/12/2024;Bremen Jobo;0
11/12/2024;Ballena;36,855.97
11/12/2024;Arianna;0
11/12/2024;Total;622,552.48
12/12/2024;Arianna;0
12/12/2024;Ballena;37,599.37
12/12/2024;Bremen Jobo;0
12/12/2024;Bullerengue;17,385.28
12/12/2024;Hocol;33,850.48
12/12/2024;Jobo;116,260.66
12/12/2024;La Creciente;0
12/12/2024;Merecumbé;0
12/12/2024;Sinu-9;7,182.75
12/12/2024;Planta LNG;436,444
12/12/2024;TGI Promigas;0
12/12/2024;Tucurinca;126.03
12/12/2024;Total;648,848.56
13/12/2024;Tucurinca;323.25
13/12/2024;TGI Promigas;0
13/12/2024;Planta LNG;448,167
13/12/2024;Sinu-9;7,654.92
13/12/2024;Merecumbé;0
13/12/2024;La Creciente;0
13/12/2024;Jobo;115,319.36
13/12/2024;Hocol;33,930.62
13/12/2024;Bullerengue;17,382.10
13/12/2024;Bremen Jobo;0
13/12/2024;Ballena;32,372.74
13/12/2024;Arianna;0
13/12/2024;Total;655,149.99
14/12/2024;Arianna;0
14/12/2024;Ballena;37,907.23
14/12/2024;Bremen Jobo;0
14/12/2024;Bullerengue;17,295.84
14/12/2024;Hocol;28,687.43
14/12/2024;Jobo;112,038.16
14/12/2024;La Creciente;0
14/12/2024;Merecumbé;0
14/12/2024;Sinu-9;7,385.94
14/12/2024;Planta LNG;445,068
14/12/2024;TGI Promigas;0
14/12/2024;Tucurinca;9.87
14/12/2024;Total;648,392.46
15/12/2024;Tucurinca;329.15
15/12/2024;TGI Promigas;0
15/12/2024;Planta LNG;375,154
15/12/2024;Sinu-9;7,468.86
15/12/2024;Merecumbé;0
15/12/2024;La Creciente;0
15/12/2024;Jobo;133,755.81
15/12/2024;Hocol;30,172.32
15/12/2024;Bullerengue;17,443.49
15/12/2024;Bremen Jobo;0
15/12/2024;Ballena;34,549.48
15/12/2024;Arianna;0
15/12/2024;Total;598,873.10
